id,issue,evidence,affected_urls_or_files,seo_impact,fix_recommendation,owner_type,priority,dev_effort,content_effort,risk,acceptance_criteria,validation_method
"TECH-001","Indexable trust pages missing from sitemap","Live sitemap had 96 URLs and omitted privacy, terms, support, and method-boundaries pages that were reachable and indexable.","/sitemap.xml; /zh/privacy; /en/privacy; /zh/terms; /en/terms; /zh/support; /en/support; /zh/method-boundaries; /en/method-boundaries","High: important trust and policy pages have weaker discovery and weaker sitewide legitimacy signals.","Update sitemap authority inclusion rules to include approved indexable trust pages sourced from CMS/backend authority.","dev,seo","P0","Medium","Low","Medium","Approved trust pages appear in sitemap; each returns 200; each is indexable; canonical matches approved locale URL; no draft or 404 URL enters sitemap.","Fetch sitemap, parse locs, request each P0 URL, verify status, robots, and canonical."
"TECH-002","Clinical and depression pages indexability does not match sitemap inclusion","Audit found clinical and depression test pages indexable via page metadata and API lookup but absent from sitemap.","/tests/clinical-depression-anxiety-assessment-professional-edition; /tests/depression-screening-test-standard-edition; /sitemap.xml","High: high-risk health pages need explicit indexability governance and consistent discovery behavior.","Make a product and review decision: indexable plus sitemap only after review_completed=true, or noindex plus no sitemap.","product,seo,content,dev","P0","Medium","Medium","High","Every clinical/depression URL has documented review_required=true; noindex or pending pages are absent from sitemap and footer/global nav; indexable pages have review_completed=true before sitemap inclusion.","Compare sitemap inclusion, page robots meta, canonical, review status, and footer/global nav links after decision."
"TECH-003","Footer lacks policy, support, and method trust links","SiteFooter policyLinks was empty and live footer did not expose privacy, terms, support, or method links.","components/layout/SiteFooter.tsx; all public pages","High: sitewide trust pages lack stable internal links, reducing E-E-A-T and user confidence.","Add footer links only to P0 allowlist pages: privacy, terms, support, method-boundaries, and approved existing core tests. Do not link holdlist pages.","dev,seo,content","P0","Low","Low","Medium","Footer has no 404 links; approved allowlist trust links are visible in zh and en; refund, science, methodology, reliability, results, and business subpages are not linked in P0.","Crawl footer links from home, test hub, article, and high-risk test pages; verify all linked URLs are 200 or approved deterministic redirects."
"TECH-004","English trust-layer pages return 404","/en/charter, /en/brand, /en/foundation, /en/careers, and /en/policies returned 404 while Chinese equivalents existed.","/en/charter; /en/brand; /en/foundation; /en/careers; /en/policies","High: broken trust URLs damage English credibility and must not be linked or alternated.","Create CMS content_pages with metadata, or remove these URLs from footer, sitemap, and hreflang until content exists.","content,seo,product,dev","P0","Low","Medium","Medium","No public link, sitemap loc, or hreflang alternate points to English trust pages unless they return 200 and have approved CMS metadata.","Route status check plus footer and sitemap link extraction."
"TECH-005","Bare /help returns 404 while localized help redirects to support","/zh/help and /en/help redirected to support, but bare /help returned 404.","/help; /zh/help; /en/help; /zh/support; /en/support","High: common help entry path is broken and can lose users and crawlers.","Use deterministic support redirects for P0; do not use Accept-Language as the SEO critical path.","product,seo,dev","P0","Low","Low","Low","/help -> /zh/support, /zh/help -> /zh/support, and /en/help -> /en/support; sitemap includes only /zh/support and /en/support.","Request /help and localized help/support routes; verify redirects, status, canonical, and sitemap."
"TECH-006","Public /results route is blocked by private noindex lookup route","/results redirected to /results/lookup, which was noindex/noarchive/nofollow.","/zh/results; /en/results; /zh/results/lookup; /en/results/lookup","High: result interpretation SEO cannot use the most natural URL while it redirects to a noindex utility.","P0 only decides and reserves route ownership: /results is future public hub, /results/lookup is private noindex utility. Public hub content is P1.","product,seo,dev,content","P0","Medium","Low","Medium","/results/lookup remains noindex and absent from sitemap; /results is not linked from footer/global nav during P0 unless P1 CMS/backend authority exists; no frontend result-guide body copy is added.","Check route status, robots meta, canonical, sitemap inclusion, and internal links."
"TECH-007","Refund policy route lacks approved standalone destination","/refund and localized refund URLs redirected to support; refund content page API returned 404 during audit.","/refund; /zh/refund; /en/refund; /zh/refund-policy; /en/refund-policy; /zh/support; /en/support","Medium: purchase trust and post-purchase support are weaker without a clear policy destination, but policy publication requires business/legal confirmation.","Keep refund-policy on the holdlist during P0. Create a P1 CMS/legal ticket after business confirms refund policy content.","product,content,seo,dev","P1","Low","Medium","Medium","dependency=business_confirmation; refund-policy is not linked from footer/global nav during P0; P1 publication requires approved refund SLA and eligibility rules.","Request refund routes, inspect redirects, verify footer/order links, and confirm CMS metadata before P1 publication."
"TECH-008","Root /privacy and /terms return 404 despite localized policy pages","Root policy URLs returned 404 while /zh/privacy, /en/privacy, /zh/terms, and /en/terms existed.","/privacy; /terms; /zh/privacy; /en/privacy; /zh/terms; /en/terms","Medium: users and crawlers often try root legal URLs; 404 weakens policy discoverability.","Add permanent deterministic redirects from root policy paths to Chinese default policy URLs.","dev,seo,product","P0","Low","Low","Low","/privacy -> /zh/privacy and /terms -> /zh/terms; redirect target canonical is correct; localized policies remain in sitemap.","Request root and localized policy URLs; verify status and redirect chain length."
"TECH-009","Career jobs indexable state is inconsistent with sitemap exclusion","Career jobs pages were index follow but absent from sitemap in the audit.","/zh/career/jobs; /en/career/jobs; /sitemap.xml","Medium: indexable but unsitemapped large surfaces can become orphaned or inconsistently crawled.","Decide whether career jobs are ready for sitemap inclusion; otherwise mark noindex until public API and performance readiness are confirmed.","product,seo,dev","P0","Medium","Low","Medium","Indexability decision is documented; sitemap and robots state match; no career jobs hub remains indexable but intentionally unsitemapped without record.","Compare page robots state, sitemap locs, and public API readiness notes."
"TECH-010","Global links may point to pages before CMS authority exists","The expansion plan contains science, result, refund, and English trust pages that do not all exist yet.","Footer, header, sitemap, hreflang, test page internal links, article CTAs","High: premature linking can create 404s, thin pages, or frontend content-authority violations.","Create a no-link-until-content-exists release gate for all new pages and clusters.","seo,content,dev","P0","Low","Low","Medium","Every new link has verified 200 status, indexability, canonical, locale alternate, and CMS/backend authority; missing pages are listed as holdbacks.","Run link inventory before release and compare against approved URL registry."
"TECH-011","High-risk clinical and IQ pages lack a formal review gate in the SEO backlog","The source report marked clinical/depression and IQ pages as needing boundary and review, but this must become an operational gate.","Clinical/depression tests; IQ test; clinical-boundaries page; iq-test-quality page","High: health and IQ claims can create user safety, legal, and trust risk.","Mark review_required=true for high-risk page backlog rows and require approval before indexable expansion or footer/test-page linking.","content,seo,product","P0","Low","Medium","High","Clinical and IQ rows have review_required=true; acceptance checklist includes disclaimer, professional boundary, privacy, and no unverified accuracy claims.","Inspect page backlog and release checklist; verify high-risk pages include approved review status."
"TECH-012","No P0 route-level validation matrix exists for the discovered foundation issues","The audit identified multiple route, sitemap, footer, and 404 mismatches that need release validation.","/sitemap.xml; /robots.txt; /help; /results; /privacy; /terms; footer links; clinical and IQ pages","High: fixes can regress without a route-level smoke checklist.","Create and run a P0 SEO smoke matrix covering status, robots, canonical, sitemap, footer link source, and review flags.","seo,dev","P0","Low","Low","Low","Smoke matrix is completed for every P0 URL; failures block release or are explicitly documented with owner and date.","Use curl or browser checks plus sitemap parsing and footer link extraction."
