path,target_url,locale,page_type,lane,evidence_quality,query_rows_captured,priority_score,allowed_next_action,blocked_reason,recommended_next_task
"/zh/personality/intp-a","https://fermatmind.com/zh/personality/intp-a","zh","variant","ready_for_draft_recommendation_review","query_backed_low_volume","1","67.45","draft_recommendation_package_then_qa","","MBTI64-CMS-PROJECTION-DRAFT-VISIBLE-3-DRY-RUN-01"
"/zh/personality/esfp-a","https://fermatmind.com/zh/personality/esfp-a","zh","variant","ready_for_draft_recommendation_review","query_backed_low_volume","1","62.021","draft_recommendation_package_then_qa","","MBTI64-CMS-PROJECTION-DRAFT-VISIBLE-3-DRY-RUN-01"
"/en/personality/enfj-a","https://fermatmind.com/en/personality/enfj-a","en","variant","ready_for_draft_recommendation_review","query_backed_low_volume","1","61.848","draft_recommendation_package_then_qa","","MBTI64-CMS-PROJECTION-DRAFT-VISIBLE-3-DRY-RUN-01"
"/zh/personality/istp-a","https://fermatmind.com/zh/personality/istp-a","zh","variant","hold_for_query_evidence","page_level_only_query_suppressed","0","73.612","refresh_gsc_query_evidence","query_evidence_suppressed","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"/zh/personality/esfj-a","https://fermatmind.com/zh/personality/esfj-a","zh","variant","hold_for_query_evidence","page_level_only_query_suppressed","0","60.521","refresh_gsc_query_evidence","query_evidence_suppressed","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"/zh/personality/intp-a-vs-intp-t","https://fermatmind.com/zh/personality/intp-a-vs-intp-t","zh","comparison","hold_for_query_evidence","page_level_only_query_suppressed","0","59.542","refresh_gsc_query_evidence","query_evidence_suppressed","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"/en/personality/esfj-t","https://fermatmind.com/en/personality/esfj-t","en","variant","hold_for_query_evidence","page_level_only_query_suppressed","0","59.082","refresh_gsc_query_evidence","query_evidence_suppressed","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"/en/personality/intp-a","https://fermatmind.com/en/personality/intp-a","en","variant","hold_for_query_evidence","page_level_only_query_suppressed","0","59.021","refresh_gsc_query_evidence","query_evidence_suppressed","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"/en/personality/istp-a","https://fermatmind.com/en/personality/istp-a","en","variant","hold_for_query_evidence","page_level_only_query_suppressed","0","56.021","refresh_gsc_query_evidence","query_evidence_suppressed","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"/en/personality/enfp-a","https://fermatmind.com/en/personality/enfp-a","en","variant","hold_for_query_evidence","page_level_only_query_suppressed","0","55.828","refresh_gsc_query_evidence","query_evidence_suppressed","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"/en/personality/esfj-a","https://fermatmind.com/en/personality/esfj-a","en","variant","hold_for_query_evidence","page_level_only_query_suppressed","0","47.041","refresh_gsc_query_evidence","query_evidence_suppressed","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"/en/personality/entj-a","https://fermatmind.com/en/personality/entj-a","en","variant","hold_for_query_evidence","page_level_only_query_suppressed","0","44.542","refresh_gsc_query_evidence","query_evidence_suppressed","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"/en/personality/estp-t","https://fermatmind.com/en/personality/estp-t","en","variant","hold_for_query_evidence","page_level_only_query_suppressed","0","44.542","refresh_gsc_query_evidence","query_evidence_suppressed","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
