forbidden,priority_queries,required_capture,slug,title_en,title_zh_seed
official China occupational wage wording; invented sample count,柴油设备维修技师与机械师 工资 职友集 | 柴油设备维修技师与机械师 薪资 招聘 | 柴油设备维修技师与机械师 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,diesel-service-technicians-and-mechanics,Diesel Service Technicians And Mechanics,柴油设备维修技师与机械师
official China occupational wage wording; invented sample count,膳食技术员 工资 职友集 | 膳食技术员 薪资 招聘 | 膳食技术员 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,dietetic-technicians,Dietetic Technicians,膳食技术员
official China occupational wage wording; invented sample count,膳食与营养师 工资 职友集 | 膳食与营养师 薪资 招聘 | 膳食与营养师 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,dietitians-and-nutritionists,Dietitians And Nutritionists,膳食与营养师
official China occupational wage wording; invented sample count,餐厅与食堂服务员帮工 工资 职友集 | 餐厅与食堂服务员帮工 薪资 招聘 | 餐厅与食堂服务员帮工 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,dining-room-and-cafeteria-attendants-and-bartender-helpers,Dining Room And Cafeteria Attendants And Bartender Helpers,餐厅与食堂服务员帮工
official China occupational wage wording; invented sample count,总监、教育 工资 职友集 | 总监、教育 薪资 招聘 | 总监、教育 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,directors-religious-activities-and-education,"Directors, Religious Activities And Education",总监、教育
official China occupational wage wording; invented sample count,非电台唱片骑师 工资 职友集 | 非电台唱片骑师 薪资 招聘 | 非电台唱片骑师 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,disc-jockeys-except-radio,"Disc Jockeys, Except Radio",非电台唱片骑师
official China occupational wage wording; invented sample count,洗碗工 工资 职友集 | 洗碗工 薪资 招聘 | 洗碗工 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,dishwashers,Dishwashers,洗碗工
official China occupational wage wording; invented sample count,调度员、警察、消防、救护车 工资 职友集 | 调度员、警察、消防、救护车 薪资 招聘 | 调度员、警察、消防、救护车 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,dispatchers-except-police-fire-and-ambulance,"Dispatchers, Except Police, Fire, And Ambulance",调度员、警察、消防、救护车
official China occupational wage wording; invented sample count,管理专员 工资 职友集 | 管理专员 薪资 招聘 | 管理专员 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,document-management-specialists,Document Management Specialists,管理专员
official China occupational wage wording; invented sample count,工人销售 工资 职友集 | 工人销售 薪资 招聘 | 工人销售 月薪 BOSS 猎聘 智联,specific URL plus salary/sample/distribution/job-posting text,door-to-door-sales-workers-news-and-street-vendors-and-related-workers,"Door To Door Sales Workers, News And Street Vendors, And Related Workers",工人销售
